simulation_id,Uhub,Hs,Tp,CurrentSpeed
375,48.9,11.8,15.95,0.97
376,48.9,11.8,13.05,1.44
377,48.9,11.8,14.5,0.97
378,48.9,11.8,15.95,0.97
379,48.9,11.8,13.05,1.44
380,48.9,11.8,15.95,0.97
381,48.9,11.8,14.5,0.97
382,48.9,11.8,13.05,0.97
383,48.9,11.8,15.95,0.97
384,48.9,11.8,13.05,1.44
385,48.9,11.8,14.5,0.97
386,48.9,11.8,14.5,0.97
387,48.9,11.8,13.05,0.97
388,48.9,11.8,15.95,0.97
389,48.9,11.8,15.95,0.97
390,48.9,11.8,15.95,1.17
391,48.9,11.8,15.95,1.17
392,48.9,11.8,15.95,1.17
393,48.9,11.8,14.5,1.17
394,48.9,11.8,15.95,0.97
395,48.9,11.8,14.5,1.17
396,48.9,11.8,15.95,1.17
397,48.9,11.8,15.95,1.17
398,48.9,11.8,13.05,1.17
399,48.9,11.8,14.5,1.17
400,48.9,11.8,15.95,1.17
401,48.9,11.8,15.95,1.17
402,48.9,11.8,13.05,1.17
403,48.9,11.8,15.95,1.17
404,48.9,11.8,13.05,1.17
405,48.9,11.8,14.5,1.17
406,48.9,11.8,13.05,1.17
407,48.9,11.8,13.05,1.17
408,48.9,11.8,14.5,1.17
409,48.9,11.8,14.5,1.17
410,48.9,11.8,15.95,1.17
411,48.9,11.8,15.95,1.17
412,48.9,11.8,14.5,1.17
413,48.9,11.8,15.95,1.17
414,48.9,11.8,14.5,0.97
415,48.9,11.8,14.5,0.97
416,48.9,11.8,15.95,1.17
417,48.9,11.8,13.05,1.17
418,48.9,11.8,15.95,1.17
419,48.9,11.8,14.5,1.17
420,48.9,11.8,13.05,1.17
421,48.9,11.8,14.5,1.17
422,48.9,11.8,15.95,1.44
423,48.9,11.8,15.95,1.44
424,48.9,11.8,15.95,1.44
425,48.9,11.8,15.95,1.44
426,48.9,11.8,14.5,1.17
427,48.9,11.8,13.05,1.17
428,48.9,11.8,14.5,1.17
429,48.9,11.8,14.5,1.44
430,48.9,11.8,15.95,1.44
431,48.9,11.8,14.5,1.44
432,48.9,11.8,14.5,1.17
433,48.9,11.8,13.05,0.97
434,48.9,11.8,13.05,1.17
435,48.9,11.8,13.05,1.44
436,48.9,11.8,15.95,1.44
437,48.9,11.8,14.5,0.97
438,46.3,6.1,9,1.21
439,48.9,11.8,14.5,1.44
440,48.9,11.8,13.05,1.44
441,48.9,11.8,13.05,1.44
442,46.3,6.1,9,1.21
443,48.9,11.8,14.5,1.44
444,48.9,11.8,14.5,1.44
445,48.9,11.8,13.05,1.17
446,46.3,6.1,9.9,1.17
447,48.9,11.8,13.05,0.97
448,48.9,11.8,13.05,1.44
449,48.9,11.8,14.5,1.17
450,46.3,6.1,8.1,1.21
451,48.9,11.8,14.5,1.44
452,46.3,6.1,8.1,1.21
453,48.9,11.8,13.05,1.17
454,46.3,8.7,10.5,1.17
455,46.3,6.1,8.1,1.21
456,46.3,8.7,9.45,1.17
457,46.3,8.7,9.45,1.17
458,46.3,6.1,8.1,1.21
459,46.3,8.7,10.5,1.17
460,46.3,8.7,10.5,1.17
461,46.3,8.7,11.55,1.17
462,48.9,11.8,15.95,1.44
463,48.9,11.8,15.95,1.44
464,48.9,11.8,13.05,1.44
465,48.9,11.8,14.5,1.17
466,46.3,8.7,11.55,1.17
467,46.3,8.7,9.45,1.17
468,48.9,11.8,15.95,1.44
469,48.9,11.8,15.95,1.44
470,46.3,8.7,10.5,1.17
471,48.9,11.8,14.5,1.44
472,48.9,11.8,15.95,1.44
473,48.9,11.8,14.5,1.44
474,48.9,11.8,13.05,0.97
475,48.9,11.8,13.05,1.44
476,48.9,11.8,15.95,1.44
477,48.9,11.8,14.5,1.44
478,48.9,11.8,15.95,1.44
479,48.9,11.8,15.95,0.97
480,48.9,11.8,14.5,1.44
481,48.9,11.8,13.05,1.44
482,48.9,11.8,15.95,1.44
483,48.9,11.8,15.95,0.97
484,48.9,11.8,15.95,0.97
485,48.9,11.8,14.5,1.44
486,48.9,11.8,13.05,0.97
487,48.9,11.8,13.05,1.44
488,48.9,11.8,13.05,1.44
489,48.9,11.8,15.95,0.97
490,48.9,11.8,15.95,1.17
491,48.9,11.8,15.95,0.97
492,48.9,11.8,13.05,1.17
493,48.9,11.8,13.05,1.44
494,48.9,11.8,14.5,0.97
495,48.9,11.8,13.05,1.44
496,48.9,11.8,15.95,0.97
497,48.9,11.8,13.05,0.97
498,48.9,11.8,15.95,0.97
499,48.9,11.8,14.5,0.97
500,48.9,11.8,13.05,1.44
501,48.9,11.8,14.5,0.97
502,48.9,11.8,14.5,0.97
503,48.9,11.8,14.5,0.97
504,46.3,8.7,11.55,1.17
505,48.9,11.8,15.95,0.97
506,48.9,11.8,15.95,0.97
507,48.9,11.8,14.5,0.97
508,48.9,11.8,15.95,0.97
509,48.9,11.8,15.95,0.97
510,48.9,11.8,13.05,0.97
511,48.9,11.8,14.5,0.97
512,48.9,11.8,15.95,0.97
513,48.9,11.8,14.5,0.97
514,48.9,11.8,14.5,0.97
515,48.9,11.8,14.5,0.97
516,48.9,11.8,14.5,1.44
517,48.9,11.8,14.5,0.97
518,48.9,11.8,13.05,0.97
519,48.9,11.8,15.95,0.97
520,48.9,11.8,15.95,0.97
521,48.9,11.8,13.05,0.97
522,48.9,11.8,13.05,0.97
523,48.9,11.8,14.5,0.97
524,48.9,11.8,14.5,0.97
525,48.9,11.8,13.05,0.97
526,48.9,13.6,15.5,1.44
527,48.9,11.8,15.95,0.97
528,48.9,11.8,14.5,0.97
529,48.9,13.6,17.05,1.44
530,48.9,11.8,13.05,0.97
531,48.9,11.8,15.95,0.97
532,48.9,13.6,17.05,1.44
533,48.9,11.8,14.5,0.97
534,48.9,13.6,13.95,1.44
535,48.9,11.8,13.05,0.97
536,48.9,13.6,17.05,1.44
537,48.9,13.6,13.95,1.44
538,48.9,13.6,17.05,1.44
539,48.9,11.8,14.5,0.97
540,48.9,13.6,13.95,1.44
541,48.9,11.8,13.05,0.97
542,48.9,13.6,15.5,1.44
543,48.9,11.8,14.5,0.97
544,48.9,11.8,15.95,0.97
545,48.9,11.8,13.05,0.97
546,48.9,11.8,13.05,0.97
547,48.9,13.6,15.5,1.44
548,48.9,13.6,15.5,1.44
549,48.9,13.6,17.05,1.44
550,48.9,13.6,17.05,1.44
551,48.9,11.8,15.95,0.97
552,48.9,13.6,17.05,1.44
553,48.9,11.8,13.05,0.97
554,48.9,11.8,13.05,0.97
555,48.9,13.6,15.5,1.44
556,48.9,13.6,17.05,1.44
557,48.9,13.6,15.5,1.44
558,48.9,11.8,13.05,0.97
559,48.9,11.8,13.05,0.97
560,48.9,13.6,17.05,1.44
561,48.9,13.6,13.95,1.44
562,48.9,13.6,17.05,1.44
563,48.9,13.6,13.95,1.44
564,48.9,11.8,14.5,0.97
565,48.9,13.6,15.5,1.44
566,48.9,13.6,13.95,1.44
567,48.9,11.8,13.05,0.97
568,48.9,13.6,13.95,1.44
569,48.9,11.8,13.05,0.97
570,48.9,13.6,17.05,1.44
571,48.9,13.6,13.95,1.44
572,48.9,11.8,15.95,0.97
573,48.9,13.6,17.05,1.44
574,48.9,11.8,13.05,0.97
575,48.9,13.6,15.5,1.44
576,48.9,13.6,13.95,1.44
577,48.9,13.6,13.95,1.44
578,48.9,13.6,15.5,1.44
579,48.9,13.6,15.5,1.44
580,48.9,13.6,13.95,1.44
581,41.7,4.5,7.9,1.11
582,48.9,13.6,17.05,1.44
583,48.9,13.6,13.95,1.44
584,48.9,11.8,15.95,1.17
585,46.3,4.8,8.1,1.27
586,46.3,4.8,8.1,1.19
587,46.3,4.8,8.91,1.19
588,46.3,4.8,8.1,1.19
589,48.9,11.8,14.5,1.31
590,48.9,13.6,17.05,1.44
591,48.9,13.6,17.05,1.44
592,48.9,13.6,13.95,1.44
593,48.9,13.6,15.5,1.44
594,48.9,13.6,15.5,1.44
595,48.9,13.6,17.05,1.44
596,48.9,13.6,17.05,1.44
597,48.9,8.7,11.55,0.97
598,48.9,8.7,11.55,0.97
599,48.9,13.6,15.5,1.44
600,48.9,13.6,13.95,1.44
601,48.9,13.6,17.05,1.44
602,48.9,13.6,15.5,1.44
603,48.9,13.6,17.05,1.44
604,48.9,13.6,13.95,1.44
605,48.9,13.6,13.95,1.44
606,48.9,13.6,17.05,1.44
607,48.9,13.6,15.5,1.44
608,48.9,13.6,17.05,1.44
609,48.9,13.6,17.05,1.44
610,48.9,13.6,13.95,1.44
611,48.9,13.6,13.95,1.44
612,48.9,13.6,13.95,1.44
613,48.9,13.6,15.5,1.44
614,48.9,13.6,17.05,1.44
615,48.9,13.6,15.5,1.44
616,48.9,13.6,15.5,1.44
617,48.9,13.6,17.05,1.44
618,48.9,13.6,17.05,1.44
619,48.9,13.6,15.5,1.44
620,48.9,13.6,15.5,1.44
621,48.9,8.7,10.5,0.97
622,48.9,8.7,10.5,0.97
623,48.9,13.6,17.05,1.44
624,48.9,13.6,13.95,1.44
625,48.9,13.6,17.05,1.44
626,48.9,13.6,13.95,1.44
627,48.9,13.6,13.95,1.44
628,48.9,13.6,15.5,1.44
629,48.9,8.7,10.5,0.97
630,48.9,13.6,13.95,1.44
631,48.9,13.6,15.5,1.44
632,48.9,13.6,15.5,1.44
633,48.9,13.6,13.95,1.44
634,48.9,13.6,13.95,1.44
635,48.9,13.6,17.05,1.44
636,48.9,13.6,15.5,1.44
637,48.9,11.8,15.95,1.44
638,48.9,13.6,15.5,1.44
639,48.9,13.6,13.95,1.44
640,48.9,11.8,15.95,1.44
641,48.9,13.6,13.95,1.44
642,48.9,13.6,15.5,1.44
643,48.9,11.8,15.95,1.44
644,48.9,11.8,15.95,1.44
645,48.9,11.8,15.95,1.44
646,48.9,13.6,13.95,1.44
647,48.9,11.8,14.5,1.44
648,48.9,11.8,14.5,1.44
649,48.9,11.8,14.5,1.44
650,48.9,11.8,14.5,1.44
651,48.9,11.8,13.05,1.44
652,48.9,11.8,15.95,1.44
653,48.9,11.8,13.05,1.44
654,48.9,11.8,13.05,1.44
655,48.9,11.8,14.5,1.44
656,48.9,11.8,15.95,1.44
657,48.9,13.6,17.05,1.44
658,48.9,8.7,11.55,0.97
659,44.9,6.1,9.02,1.4
660,44.9,6.1,9.02,1.4
661,44.9,6.1,8.2,1.28
662,44.9,6.1,9.02,1.4
663,48.9,11.8,13.05,1.44
664,44.9,4.9,7.5,1.4
665,44.9,6.1,7.38,1.28
666,48.9,11.8,14.5,1.44
667,44.9,6.1,8.2,1.4
668,48.9,13.6,17.05,1.44
669,48.9,13.6,15.5,1.44
670,48.9,11.8,13.05,1.44
671,48.9,8.7,9.45,0.97
672,44.9,6.1,8.2,1.4
673,48.9,8.7,11.55,1.27
674,44.9,6.1,8.2,1.4
675,46.1,6.1,7.38,1.4
676,46.1,6.1,9.02,1.4
677,48.9,13.6,15.5,1.44
678,48.9,13.6,15.5,1.44
679,46.1,6.1,9.02,1.4
680,44.9,6.1,7.38,1.28
681,46.1,6.1,7.38,1.4
682,44.9,6.1,7.38,1.4
683,44.9,6.1,7.38,1.4
684,46.1,6.1,9.02,1.4
685,48.9,8.7,11.55,1.17
686,46.1,6.1,9.02,1.4
687,46.1,6.1,8.2,1.4
688,46.1,6.1,8.2,1.4
689,48.9,11.8,13.05,1.49
690,46.1,6.1,9.02,1.4
691,46.1,6.1,9.02,1.4
692,46.1,6.1,7.38,1.4
693,46.1,6.1,8.2,1.4
694,46.1,6.1,7.38,1.4
695,46.1,6.1,8.2,1.4
696,46.1,6.1,9.02,1.4
697,46.1,6.1,7.38,1.4
698,46.1,6.1,8.2,1.4
699,46.1,6.1,9.02,1.4
700,46.1,6.1,9.02,1.4
701,46.1,6.1,9.02,1.4
702,46.1,6.1,8.2,1.4
703,41.7,4.5,8.69,1.19
704,46.1,6.1,7.38,1.4
705,48.9,8.7,9.45,0.97
706,46.1,6.1,8.2,1.4
707,46.1,6.1,9.02,1.4
708,46.1,6.1,7.38,1.4
709,46.1,6.1,8.2,1.4
710,46.1,6.1,7.38,1.4
711,48.9,8.7,10.5,1.17
712,46.1,6.1,9.02,1.4
713,46.1,6.1,8.2,1.4
714,46.1,6.1,7.38,1.4
715,46.1,6.1,8.2,1.4
716,46.1,6.1,8.2,1.4
717,46.1,6.1,7.38,1.4
718,48.9,8.7,10.5,1.17
719,46.1,6.1,7.38,1.4
720,46.1,6.1,7.38,1.4
721,46.1,4.2,7,1.28
722,36.8,4.5,7.11,1.11
723,46.1,4.2,7.7,1.28
724,46.1,4.2,7.7,1.28
725,46.1,4.2,7,1.28
726,46.1,6.1,8.2,1.4
727,48.9,8.7,10.5,1.17
728,48.9,13.6,17.05,1.44
729,46.1,6.1,7.38,1.4
730,36.8,6.1,8.1,1.27
731,46.1,6.1,7.38,1.4
732,38.5,4.5,6.48,1.07
733,48.9,13.6,17.05,1.44
734,48.9,13.6,15.5,1.44
735,48.9,11.8,15.95,1.44
736,48.9,13.6,15.5,1.44
737,48.9,13.6,17.05,1.44
738,48.9,11.8,15.95,1.44
739,48.9,11.8,15.95,1.44
740,48.9,13.6,13.95,1.44
741,48.9,13.6,13.95,1.44
742,48.9,11.8,15.95,1.44
743,48.9,13.6,17.05,1.44
744,48.9,13.6,13.95,1.44
745,48.9,11.8,14.5,1.44
746,48.9,11.8,15.95,1.44
747,48.9,13.6,13.95,1.44
748,48.9,11.8,14.5,1.44
749,48.9,13.6,15.5,1.44
750,48.9,8.7,11.55,1.17
751,48.9,13.6,17.05,1.44
752,48.9,11.8,15.95,1.44
753,48.9,11.8,15.95,1.44
754,48.9,11.8,13.05,1.44
755,48.9,11.8,13.05,1.44
756,48.9,8.7,11.55,1.17
