foundation_origin z FloaterHeave [m],foundation_origin Rz FloaterYaw [deg],foundation_origin xy FloaterOffset [m],foundation_origin Rxy FloaterTilt [deg],CEN_E3 Resultant bending moment ArcLength=2.72 [kN.m],MooringLine1 Effective tension Fairlead [kN],MooringLine2 Effective tension Fairlead [kN],MooringLine3 Effective tension Fairlead [kN],MooringLine4 Effective tension Fairlead [kN],MooringLine5 Effective tension Fairlead [kN],foundation_origin Mooring GXY Resultant force [kN],GE14-220 GXY acceleration [m/s^2]
4.364394823710124,1.501051268330201,30.49996762133885,4.916166117952172,544245.1746604101,2934.1527506510415,2094.940714518229,1652.8829345703125,7676.526204427083,4119.3349609375,8880.680939205105,2.5670745828152377
3.6049249172210693,3.6401037835638292,30.70753554496889,3.728040852356164,525395.5505865057,2385.9354654947915,1673.3734944661458,1903.2552083333333,9489.258626302084,3385.975830078125,9081.184783512073,2.8958228681119134
4.543694734573364,0.8537056645250111,28.2093441230046,3.7013486419657835,504064.6607043022,2264.04345703125,1630.5032552083333,1742.9574788411458,8393.535807291666,3154.8050130208335,7978.4466909092325,2.587679246275499
4.537138144175212,1.5418721251351448,28.749914372898573,3.986102695383387,470174.6307884955,2213.731730143229,1633.2701416015625,1852.3485107421875,8593.634602864584,3097.2478841145835,7967.3871862562155,2.382901437182845
2.654398798942566,2.771395074918356,32.02595206692494,5.867189328865259,712453.2407665653,2855.1463216145835,1990.1205647786458,1536.2579752604167,9346.047037760416,4064.25537109375,9632.593547555674,3.4122472370697814
3.456775983174642,-0.07836355631361192,30.87264137870333,6.281909382506011,691386.6609720223,2605.0310872395835,1875.0894775390625,1462.9616292317708,8643.865885416666,3676.8343912760415,8760.65759398316,2.6361051614254896
3.455498456954956,0.4950859129194616,31.64467682307809,6.169827161305512,649659.7892493923,2550.1891276041665,1872.5998942057292,1556.6350504557292,9154.234375,3704.9667154947915,9027.509841639761,2.474600923052759
2.843710700670878,1.451616520232191,33.515360090927054,6.190672729689858,756489.6294531402,2788.68603515625,1956.2255859375,1454.4268391927083,10368.3515625,3981.35498046875,10245.075400715265,3.4619473425596072
3.70607590675354,-1.0374916654467248,32.938198890704186,6.564457702547048,722651.6371707264,2552.18115234375,1792.6622314453125,1359.8846435546875,9734.836588541666,3683.6210123697915,9561.43796466934,2.7143353227792453
3.633373737335205,-0.3428580206553184,33.259012495380546,6.543362101635765,683527.4687647569,2508.474609375,1818.8937174479167,1505.3197428385417,10300.680013020834,3720.22265625,9830.969178729667,2.6616008995490628
